task_completion,attendance_punctuality,communication_teamwork,initiative_adaptability,quality_of_work,target_classification,label_task_completion,label_attendance_punctuality,label_communication_teamwork,label_initiative_adaptability,label_quality_of_work
3.62,1.0,2.97,2.82,3.76,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,needs_improvement
2.88,2.82,3.12,2.48,3.33,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
3.64,3.51,5.0,2.54,3.72,critical_gap,needs_improvement,needs_improvement,meets_expectations,critical_gap,needs_improvement
3.63,4.34,3.48,3.71,4.06,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations
3.0,2.66,2.09,1.89,3.18,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.73,3.23,2.84,3.38,2.21,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap
4.54,4.28,4.76,4.68,4.31,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.09,2.66,2.77,2.12,1.36,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.13,3.78,3.79,3.53,3.52,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
3.13,2.57,2.94,3.02,3.78,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
4.46,4.74,5.0,4.07,4.19,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.61,3.59,4.52,3.65,2.25,critical_gap,critical_gap,needs_improvement,meets_expectations,needs_improvement,critical_gap
4.19,3.44,2.79,3.09,3.51,critical_gap,meets_expectations,needs_improvement,critical_gap,critical_gap,needs_improvement
3.02,2.53,5.0,4.42,4.52,critical_gap,critical_gap,critical_gap,meets_expectations,meets_expectations,meets_expectations
3.13,3.24,2.78,4.35,3.42,critical_gap,critical_gap,needs_improvement,critical_gap,meets_expectations,needs_improvement
3.35,3.81,3.68,2.82,4.52,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap,meets_expectations
4.31,5.0,4.81,4.96,4.85,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.9,3.89,4.7,4.3,4.5,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations,meets_expectations
4.15,3.77,3.73,3.95,3.9,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
2.77,2.29,3.71,2.87,1.74,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
1.49,1.0,3.29,1.36,3.76,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement
4.57,3.48,3.86,3.55,3.49,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.32,4.18,4.13,3.78,4.06,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
3.22,3.78,4.29,3.9,4.15,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations
2.85,2.4,2.43,3.81,2.45,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
3.38,4.95,4.56,4.14,4.02,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.35,4.8,4.07,3.46,4.2,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement,meets_expectations
2.84,3.23,1.19,1.43,3.04,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
2.88,2.14,2.16,3.48,3.16,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
1.6,4.39,5.0,4.65,4.62,needs_improvement,critical_gap,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.57,3.13,3.68,2.17,4.84,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,meets_expectations
3.55,3.93,3.54,4.73,1.27,critical_gap,needs_improvement,needs_improvement,needs_improvement,meets_expectations,critical_gap
3.02,1.49,1.76,2.55,1.39,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.52,3.18,2.5,2.85,3.9,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,needs_improvement
2.04,1.0,1.22,1.7,1.94,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.62,2.61,2.72,2.31,2.13,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
1.97,2.18,2.72,3.36,2.48,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap
3.55,3.85,3.46,4.24,4.26,needs_improvement,needs_improvement,needs_improvement,needs_improvement,meets_expectations,meets_expectations
4.7,3.66,4.21,3.81,3.79,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,needs_improvement
2.75,4.45,3.14,3.39,3.66,critical_gap,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement
2.37,5.0,5.0,4.18,3.39,needs_improvement,critical_gap,meets_expectations,meets_expectations,meets_expectations,needs_improvement
3.57,3.4,3.45,3.72,3.02,critical_gap,needs_improvement,needs_improvement,needs_improvement,needs_improvement,critical_gap
4.62,2.1,3.11,4.13,4.17,critical_gap,meets_expectations,critical_gap,critical_gap,meets_expectations,meets_expectations
3.49,3.72,3.16,4.43,3.05,critical_gap,needs_improvement,needs_improvement,critical_gap,meets_expectations,critical_gap
4.59,4.85,5.0,4.37,4.99,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.63,3.76,3.74,4.03,4.04,needs_improvement,meets_expectations,needs_improvement,needs_improvement,meets_expectations,meets_expectations
4.11,4.05,4.87,3.58,3.18,needs_improvement,meets_expectations,meets_expectations,meets_expectations,needs_improvement,critical_gap
2.83,3.5,2.9,3.01,3.62,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement
3.62,3.58,4.21,3.34,2.15,critical_gap,needs_improvement,needs_improvement,meets_expectations,needs_improvement,critical_gap
3.57,1.59,3.07,1.54,4.74,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap,meets_expectations
2.22,2.64,3.05,3.21,3.62,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement
2.34,3.95,3.64,3.86,2.04,critical_gap,critical_gap,needs_improvement,needs_improvement,needs_improvement,critical_gap
4.74,4.1,3.22,3.9,3.62,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement,needs_improvement
4.17,4.22,4.29,4.71,3.57,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
2.59,3.35,1.84,2.99,4.34,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,meets_expectations
2.48,3.21,2.94,3.1,2.93,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap,critical_gap
3.95,2.58,3.86,3.14,3.89,critical_gap,needs_improvement,critical_gap,needs_improvement,critical_gap,needs_improvement
4.62,4.81,5.0,4.25,4.8,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
2.24,2.62,1.56,1.0,1.5,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.85,3.99,2.91,3.29,3.41,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement,needs_improvement
2.97,1.55,2.83,3.09,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
2.88,2.03,2.98,3.04,3.73,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
2.72,4.27,3.92,4.54,3.57,critical_gap,critical_gap,meets_expectations,needs_improvement,meets_expectations,needs_improvement
3.74,5.0,3.78,4.48,4.76,needs_improvement,needs_improvement,meets_expectations,needs_improvement,meets_expectations,meets_expectations
3.91,3.77,3.02,4.67,3.86,critical_gap,needs_improvement,needs_improvement,critical_gap,meets_expectations,needs_improvement
3.88,4.4,5.0,4.77,4.48,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations,meets_expectations
3.04,2.43,3.34,3.05,3.7,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,needs_improvement
3.52,4.17,4.5,3.44,3.47,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement
2.98,3.1,3.47,3.06,2.68,critical_gap,critical_gap,critical_gap,needs_improvement,critical_gap,critical_gap
2.23,2.94,2.45,1.53,1.76,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
5.0,4.82,4.76,4.96,5.0,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
1.78,2.09,2.08,2.33,2.47,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.32,4.65,4.1,4.26,3.83,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,needs_improvement
1.0,1.41,1.52,2.11,1.0,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
4.54,3.97,4.48,4.75,5.0,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
1.45,2.43,3.32,3.6,1.6,critical_gap,critical_gap,critical_gap,needs_improvement,needs_improvement,critical_gap
3.35,2.28,4.15,1.93,4.37,critical_gap,needs_improvement,critical_gap,meets_expectations,critical_gap,meets_expectations
4.05,3.92,3.92,3.89,4.0,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,meets_expectations
4.25,3.44,4.59,4.19,4.35,meets_expectations,meets_expectations,needs_improvement,meets_expectations,meets_expectations,meets_expectations
3.56,3.59,2.43,3.64,2.98,critical_gap,needs_improvement,needs_improvement,critical_gap,needs_improvement,critical_gap
3.98,5.0,2.93,3.95,3.72,critical_gap,needs_improvement,meets_expectations,critical_gap,needs_improvement,needs_improvement
3.36,3.63,2.96,4.12,2.73,critical_gap,needs_improvement,needs_improvement,critical_gap,meets_expectations,critical_gap
2.45,2.56,1.14,2.02,2.96,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.9,4.38,4.03,3.93,3.73,needs_improvement,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement
4.72,3.4,5.0,3.67,3.96,needs_improvement,meets_expectations,needs_improvement,meets_expectations,needs_improvement,needs_improvement
4.46,4.32,4.46,4.02,4.2,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations,meets_expectations
4.03,4.18,3.91,3.61,4.29,needs_improvement,meets_expectations,meets_expectations,needs_improvement,needs_improvement,meets_expectations
3.8,3.27,4.04,3.99,3.63,needs_improvement,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement
3.83,3.24,3.26,3.82,3.64,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.13,3.89,3.42,3.21,4.03,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement,meets_expectations
2.86,1.9,2.03,1.75,1.07,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
3.3,3.39,3.97,3.56,3.97,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement,needs_improvement
4.0,4.09,3.27,4.17,3.56,needs_improvement,meets_expectations,meets_expectations,needs_improvement,meets_expectations,needs_improvement
3.32,2.86,2.2,3.24,2.69,critical_gap,needs_improvement,critical_gap,critical_gap,needs_improvement,critical_gap
2.91,2.23,2.45,2.99,3.23,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,needs_improvement
4.45,2.4,3.51,3.76,4.06,critical_gap,meets_expectations,critical_gap,needs_improvement,needs_improvement,meets_expectations
3.99,4.22,3.84,2.49,3.18,critical_gap,needs_improvement,meets_expectations,needs_improvement,critical_gap,critical_gap
3.33,4.88,3.59,3.26,3.72,needs_improvement,needs_improvement,meets_expectations,needs_improvement,needs_improvement,needs_improvement
1.84,3.02,1.25,1.8,2.63,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap,critical_gap
